Question,Twain,Tilbe
"İlk kadınım ben ve son kadında da varım ..",Y,N
"Beni dışardan yargılayanlara söyleyecek sözüm yok; zaten dışarıda kalmaları onlara yetiyor.",Y,N
"Beni dışardan yargılayanlara söyleyecek sözüm yok; zaten dışarıda kalmaları onlara yetiyor.",Y,N
"Bana insanlığın haysiyetini çekip almaya çalıştığımı söylediler ve ben de bunu başarama­yacağımı, zira insanlığın sahip olmadığı bir niteliği ondan çekip almanın mümkün olmadığını söyledim:",Y,N
"İnsanlara kendimi anlatmayı işlerine geleni duyduklarını farkettiğimde bıraktım.",Y,N
"Kavga ederek çözebilceğiniz sorunları konuşarak uzatmayın.",N,Y
"İçimde öyle güzelsin ki onu kirletmeyeceğim seninle",N,Y
"Çok güzel kararlar aldım muhtemelen uygulamam.",N,Y
"Hepinizden nefret ediyorum ama tek başımayken canım sıkılıyor.",N,Y
"Kendimi öyle seviyorum ki başkası beni bu kadar sevse ona aşık olurdum...",N,Y
